Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-25 14:00:00-05:00,21134.875,21139.7109375,21064.0390625,21072.134765625,61172679,0.0,0.0
2025-02-25 14:30:00-05:00,21071.126953125,21147.24609375,21071.126953125,21137.462890625,58342960,0.0,0.0
2025-02-25 15:00:00-05:00,21135.814453125,21196.107421875,21122.265625,21159.865234375,71979000,0.0,0.0
2025-02-25 15:30:00-05:00,21162.845703125,21162.845703125,21057.80078125,21090.609375,124904000,0.0,0.0
2025-02-26 09:30:00-05:00,21159.41015625,21256.7265625,21140.65234375,21247.494140625,111140204,0.0,0.0
2025-02-26 10:00:00-05:00,21242.1015625,21310.1015625,21213.017578125,21220.38671875,107186674,0.0,0.0
2025-02-26 10:30:00-05:00,21226.25,21298.69921875,21226.25,21296.25390625,83694453,0.0,0.0
2025-02-26 11:00:00-05:00,21301.05078125,21346.658203125,21299.13671875,21310.91015625,78555610,0.0,0.0
2025-02-26 11:30:00-05:00,21308.986328125,21349.9765625,21287.072265625,21290.6171875,65966446,0.0,0.0
2025-02-26 12:00:00-05:00,21294.76171875,21348.1953125,21282.61328125,21320.998046875,54622389,0.0,0.0
2025-02-26 12:30:00-05:00,21320.66796875,21332.21875,21179.677734375,21194.865234375,60974589,0.0,0.0
2025-02-26 13:00:00-05:00,21190.365234375,21199.484375,21118.8515625,21119.66015625,59410648,0.0,0.0
2025-02-26 13:30:00-05:00,21114.51953125,21144.828125,21033.349609375,21048.248046875,71583739,0.0,0.0
2025-02-26 14:00:00-05:00,21047.447265625,21095.1328125,21013.3359375,21073.251953125,76365284,0.0,0.0
2025-02-26 14:30:00-05:00,21070.96875,21112.86328125,21034.453125,21036.80859375,43201022,0.0,0.0
2025-02-26 15:00:00-05:00,21038.76953125,21108.41015625,21027.7890625,21098.31640625,67588485,0.0,0.0
2025-02-26 15:30:00-05:00,21094.783203125,21163.384765625,21074.916015625,21137.451171875,113728865,0.0,0.0
2025-02-27 09:30:00-05:00,21279.724609375,21321.740234375,20946.126953125,20958.4765625,166532478,0.0,0.0
2025-02-27 10:00:00-05:00,20939.154296875,21105.271484375,20851.568359375,21073.689453125,144913667,0.0,0.0
2025-02-27 10:30:00-05:00,21075.201171875,21076.6796875,20964.642578125,20964.642578125,87644279,0.0,0.0
2025-02-27 11:00:00-05:00,20964.82421875,21102.28125,20962.912109375,21015.01171875,82589740,0.0,0.0
2025-02-27 11:30:00-05:00,21009.5078125,21046.2890625,20947.525390625,20952.560546875,58787788,0.0,0.0
2025-02-27 12:00:00-05:00,20955.197265625,20999.76171875,20912.232421875,20999.76171875,58559800,0.0,0.0
2025-02-27 12:30:00-05:00,21001.19140625,21016.890625,20945.150390625,20982.724609375,51471584,0.0,0.0
2025-02-27 13:00:00-05:00,20981.921875,21061.59765625,20979.736328125,21041.009765625,59851288,0.0,0.0
2025-02-27 13:30:00-05:00,21042.7421875,21054.73828125,20998.873046875,20998.873046875,49958718,0.0,0.0
2025-02-27 14:00:00-05:00,21001.287109375,21001.287109375,20843.01953125,20845.4140625,71735134,0.0,0.0
2025-02-27 14:30:00-05:00,20846.265625,20846.265625,20748.5703125,20780.78515625,101227782,0.0,0.0
2025-02-27 15:00:00-05:00,20783.865234375,20785.580078125,20635.48828125,20637.837890625,109380000,0.0,0.0
2025-02-27 15:30:00-05:00,20647.9140625,20683.19921875,20543.365234375,20553.85546875,159696000,0.0,0.0
2025-02-28 09:30:00-05:00,20520.771484375,20581.337890625,20407.51953125,20539.626953125,144591341,0.0,0.0
2025-02-28 10:00:00-05:00,20535.515625,20713.19921875,20516.927734375,20712.943359375,143827871,0.0,0.0
2025-02-28 10:30:00-05:00,20699.38671875,20731.07421875,20634.712890625,20716.20703125,108871330,0.0,0.0
2025-02-28 11:00:00-05:00,20716.96875,20727.244140625,20590.28125,20593.271484375,82322489,0.0,0.0
2025-02-28 11:30:00-05:00,20588.85546875,20690.779296875,20582.59375,20647.65625,61321854,0.0,0.0
2025-02-28 12:00:00-05:00,20650.255859375,20696.3125,20620.869140625,20651.72265625,56139919,0.0,0.0
2025-02-28 12:30:00-05:00,20652.244140625,20653.974609375,20493.12890625,20493.12890625,71526626,0.0,0.0
2025-02-28 13:00:00-05:00,20486.275390625,20543.39453125,20442.720703125,20543.39453125,68970276,0.0,0.0
2025-02-28 13:30:00-05:00,20541.884765625,20608.88671875,20498.125,20498.189453125,65634575,0.0,0.0
2025-02-28 14:00:00-05:00,20494.453125,20563.169921875,20494.453125,20555.3125,53050141,0.0,0.0
2025-02-28 14:30:00-05:00,20549.65625,20668.38671875,20545.271484375,20661.6875,62646831,0.0,0.0
2025-02-28 15:00:00-05:00,20659.603515625,20718.69921875,20647.525390625,20718.083984375,72433000,0.0,0.0
2025-02-28 15:30:00-05:00,20719.294921875,20900.767578125,20641.302734375,20874.931640625,146482000,0.0,0.0
2025-03-03 09:30:00-05:00,20980.072265625,21073.802734375,20787.86328125,20791.24609375,147887624,0.0,0.0
2025-03-03 10:00:00-05:00,20737.998046875,20908.716796875,20721.705078125,20908.716796875,128701116,0.0,0.0
2025-03-03 10:30:00-05:00,20908.79296875,20940.54296875,20810.541015625,20814.169921875,85842321,0.0,0.0
2025-03-03 11:00:00-05:00,20827.998046875,20935.990234375,20827.998046875,20848.5,68570690,0.0,0.0
2025-03-03 11:30:00-05:00,20856.91015625,20890.376953125,20791.515625,20877.74609375,63715271,0.0,0.0
2025-03-03 12:00:00-05:00,20873.294921875,20906.8046875,20861.30078125,20894.13671875,59024580,0.0,0.0
2025-03-03 12:30:00-05:00,20894.052734375,20912.705078125,20784.490234375,20805.875,71562197,0.0,0.0
2025-03-03 13:00:00-05:00,20801.95703125,20810.46875,20636.044921875,20643.072265625,95705974,0.0,0.0
2025-03-03 13:30:00-05:00,20642.92578125,20718.62109375,20614.955078125,20704.669921875,72382589,0.0,0.0
2025-03-03 14:00:00-05:00,20699.451171875,20746.9140625,20662.78515625,20670.13671875,60080500,0.0,0.0
2025-03-03 14:30:00-05:00,20669.259765625,20769.478515625,20562.59375,20562.59375,80456660,0.0,0.0
2025-03-03 15:00:00-05:00,20563.154296875,20563.154296875,20323.951171875,20338.5,133743000,0.0,0.0
2025-03-03 15:30:00-05:00,20348.068359375,20427.15625,20279.5703125,20427.15625,163311000,0.0,0.0
2025-03-04 09:30:00-05:00,20274.853515625,20375.0078125,20195.220703125,20195.220703125,163422089,0.0,0.0
2025-03-04 10:00:00-05:00,20170.384765625,20201.20703125,20035.16796875,20118.111328125,176993113,0.0,0.0
2025-03-04 10:30:00-05:00,20106.669921875,20209.28515625,20099.19140625,20156.259765625,118249331,0.0,0.0
2025-03-04 11:00:00-05:00,20146.154296875,20178.83984375,20066.361328125,20096.96875,88395645,0.0,0.0
2025-03-04 11:30:00-05:00,20118.80859375,20291.990234375,20118.80859375,20256.041015625,94631642,0.0,0.0
2025-03-04 12:00:00-05:00,20260.744140625,20383.546875,20225.568359375,20355.25,82265769,0.0,0.0
2025-03-04 12:30:00-05:00,20347.845703125,20365.529296875,20281.576171875,20294.484375,76905302,0.0,0.0
2025-03-04 13:00:00-05:00,20290.841796875,20445.5390625,20276.361328125,20337.119140625,73660873,0.0,0.0
2025-03-04 13:30:00-05:00,20335.71484375,20478.216796875,20311.88671875,20458.8125,64165000,0.0,0.0
2025-03-04 14:00:00-05:00,20458.4140625,20576.86328125,20458.4140625,20524.4609375,85176000,0.0,0.0
2025-03-04 14:30:00-05:00,20530.48828125,20585.4296875,20501.908203125,20581.6484375,72516000,0.0,0.0
2025-03-04 15:00:00-05:00,20580.3828125,20688.462890625,20562.046875,20637.14453125,91899000,0.0,0.0
2025-03-04 15:30:00-05:00,20639.076171875,20639.076171875,20282.783203125,20351.5546875,156707000,0.0,0.0
2025-03-05 09:30:00-05:00,20368.197265625,20418.15234375,20239.037109375,20287.134765625,115751353,0.0,0.0
2025-03-05 10:00:00-05:00,20311.68359375,20451.25390625,20277.248046875,20298.134765625,114902301,0.0,0.0
2025-03-05 10:30:00-05:00,20297.123046875,20398.099609375,20284.287109375,20354.51171875,75292178,0.0,0.0
2025-03-05 11:00:00-05:00,20341.7890625,20342.443359375,20224.603515625,20264.55859375,77093833,0.0,0.0
2025-03-05 11:30:00-05:00,20255.677734375,20326.431640625,20186.994140625,20305.546875,71745327,0.0,0.0
2025-03-05 12:00:00-05:00,20311.794921875,20435.1171875,20297.8125,20435.1171875,62555677,0.0,0.0
2025-03-05 12:30:00-05:00,20437.091796875,20534.904296875,20407.32421875,20532.697265625,71431901,0.0,0.0
2025-03-05 13:00:00-05:00,20532.30078125,20543.509765625,20418.826171875,20464.861328125,66358294,0.0,0.0
2025-03-05 13:30:00-05:00,20459.58203125,20554.71484375,20418.748046875,20552.873046875,50920966,0.0,0.0
2025-03-05 14:00:00-05:00,20551.166015625,20671.0859375,20525.59765625,20603.361328125,75596254,0.0,0.0
2025-03-05 14:30:00-05:00,20603.79296875,20652.90625,20572.517578125,20614.84375,61261936,0.0,0.0
2025-03-05 15:00:00-05:00,20618.736328125,20687.87109375,20575.5390625,20655.98828125,81617075,0.0,0.0
2025-03-05 15:30:00-05:00,20649.056640625,20664.775390625,20571.150390625,20625.630859375,117202992,0.0,0.0
2025-03-06 09:30:00-05:00,20229.20703125,20303.720703125,20198.935546875,20254.4375,133387284,0.0,0.0
2025-03-06 10:00:00-05:00,20237.400390625,20445.029296875,20226.24609375,20426.447265625,117591671,0.0,0.0
2025-03-06 10:30:00-05:00,20423.685546875,20473.404296875,20359.734375,20397.81640625,84352024,0.0,0.0
2025-03-06 11:00:00-05:00,20402.86328125,20454.353515625,20323.923828125,20375.978515625,73115416,0.0,0.0
2025-03-06 11:30:00-05:00,20377.3046875,20425.662109375,20217.791015625,20220.486328125,79493560,0.0,0.0
2025-03-06 12:00:00-05:00,20214.01953125,20237.697265625,20100.009765625,20122.619140625,85375781,0.0,0.0
2025-03-06 12:30:00-05:00,20122.30078125,20165.3203125,20061.41015625,20138.291015625,69533541,0.0,0.0
2025-03-06 13:00:00-05:00,20138.541015625,20170.9296875,20093.1640625,20101.87890625,61228185,0.0,0.0
2025-03-06 13:30:00-05:00,20100.783203125,20125.06640625,20013.34765625,20086.345703125,70885873,0.0,0.0
2025-03-06 14:00:00-05:00,20090.09375,20090.09375,19976.095703125,19993.060546875,72524533,0.0,0.0
2025-03-06 14:30:00-05:00,19991.81640625,20166.140625,19968.556640625,20018.79296875,95001406,0.0,0.0
2025-03-06 15:00:00-05:00,20002.6015625,20109.16015625,19998.732421875,20070.6015625,88494000,0.0,0.0
2025-03-06 15:30:00-05:00,20088.85546875,20112.951171875,20007.21484375,20050.384765625,138942000,0.0,0.0
2025-03-07 09:30:00-05:00,20036.9765625,20205.25,20004.005859375,20117.107421875,129071052,0.0,0.0
2025-03-07 10:00:00-05:00,20109.826171875,20154.03515625,20015.24609375,20024.1640625,107019769,0.0,0.0
2025-03-07 10:30:00-05:00,20014.37890625,20040.857421875,19860.25,19987.40234375,132892439,0.0,0.0
2025-03-07 11:00:00-05:00,19974.1328125,19993.0859375,19828.13671875,19838.2421875,91825149,0.0,0.0
2025-03-07 11:30:00-05:00,19847.0234375,19848.265625,19738.013671875,19801.439453125,118727604,0.0,0.0
2025-03-07 12:00:00-05:00,19803.3203125,19860.3125,19747.40234375,19841.28515625,86451257,0.0,0.0
2025-03-07 12:30:00-05:00,19822.609375,20046.671875,19819.46875,19919.4296875,99407282,0.0,0.0
2025-03-07 13:00:00-05:00,19918.52734375,20088.634765625,19918.52734375,20021.759765625,76575077,0.0,0.0
2025-03-07 13:30:00-05:00,20023.865234375,20143.9609375,20014.708984375,20137.326171875,70856745,0.0,0.0
2025-03-07 14:00:00-05:00,20138.849609375,20236.396484375,20096.15625,20220.158203125,77596210,0.0,0.0
2025-03-07 14:30:00-05:00,20221.7734375,20241.46484375,20138.9375,20164.150390625,69583000,0.0,0.0
2025-03-07 15:00:00-05:00,20153.033203125,20220.830078125,20146.5625,20195.259765625,72350000,0.0,0.0
2025-03-07 15:30:00-05:00,20193.837890625,20250.36328125,20073.65625,20197.064453125,132412000,0.0,0.0
2025-03-10 09:30:00-04:00,19823.03125,19864.69921875,19720.603515625,19758.794921875,126986131,0.0,0.0
2025-03-10 10:00:00-04:00,19725.322265625,19736.697265625,19629.169921875,19636.54296875,141285294,0.0,0.0
2025-03-10 10:30:00-04:00,19630.142578125,19647.001953125,19491.908203125,19522.91015625,140762945,0.0,0.0
2025-03-10 11:00:00-04:00,19528.845703125,19604.400390625,19522.349609375,19604.056640625,108918072,0.0,0.0
2025-03-10 11:30:00-04:00,19606.201171875,19671.48046875,19548.462890625,19560.33203125,96353349,0.0,0.0
2025-03-10 12:00:00-04:00,19557.568359375,19586.068359375,19494.416015625,19545.828125,81451709,0.0,0.0
2025-03-10 12:30:00-04:00,19551.8828125,19604.5703125,19503.1484375,19515.39453125,78281135,0.0,0.0
2025-03-10 13:00:00-04:00,19513.494140625,19519.7265625,19428.072265625,19475.86328125,95207695,0.0,0.0
2025-03-10 13:30:00-04:00,19475.267578125,19480.2109375,19394.05859375,19413.64453125,80690471,0.0,0.0
2025-03-10 14:00:00-04:00,19411.583984375,19460.61328125,19370.0,19400.24609375,85532000,0.0,0.0
2025-03-10 14:30:00-04:00,19405.13671875,19432.193359375,19305.587890625,19308.673828125,76037000,0.0,0.0
2025-03-10 15:00:00-04:00,19306.142578125,19464.423828125,19248.150390625,19407.35546875,138432000,0.0,0.0
2025-03-10 15:30:00-04:00,19405.55859375,19517.04296875,19369.416015625,19432.875,190197000,0.0,0.0
2025-03-11 09:30:00-04:00,19409.2890625,19573.10546875,19362.60546875,19495.5078125,145530271,0.0,0.0
2025-03-11 10:00:00-04:00,19457.33203125,19558.650390625,19288.619140625,19293.970703125,150893503,0.0,0.0
2025-03-11 10:30:00-04:00,19299.810546875,19381.94140625,19240.578125,19289.21875,126901134,0.0,0.0
2025-03-11 11:00:00-04:00,19272.21484375,19473.041015625,19265.703125,19406.099609375,100023827,0.0,0.0
2025-03-11 11:30:00-04:00,19414.61328125,19516.2109375,19394.25390625,19394.25390625,78390621,0.0,0.0
2025-03-11 12:00:00-04:00,19393.044921875,19415.28125,19314.052734375,19359.3671875,70015509,0.0,0.0
2025-03-11 12:30:00-04:00,19374.375,19402.62890625,19273.388671875,19297.802734375,61221319,0.0,0.0
2025-03-11 13:00:00-04:00,19296.427734375,19299.818359375,19185.9296875,19189.453125,65049416,0.0,0.0
2025-03-11 13:30:00-04:00,19185.875,19338.048828125,19184.61328125,19291.845703125,70677979,0.0,0.0
2025-03-11 14:00:00-04:00,19293.9453125,19514.740234375,19293.013671875,19480.587890625,79984508,0.0,0.0
2025-03-11 14:30:00-04:00,19481.01171875,19659.427734375,19443.12890625,19611.732421875,99807000,0.0,0.0
2025-03-11 15:00:00-04:00,19611.41015625,19646.30078125,19486.349609375,19526.14453125,100325000,0.0,0.0
2025-03-11 15:30:00-04:00,19529.986328125,19536.306640625,19369.71875,19375.0625,126325000,0.0,0.0
2025-03-12 09:30:00-04:00,19667.056640625,19756.0859375,19574.63671875,19617.357421875,153709432,0.0,0.0
2025-03-12 10:00:00-04:00,19598.033203125,19697.20703125,19570.052734375,19611.69921875,121474235,0.0,0.0
2025-03-12 10:30:00-04:00,19608.46484375,19617.263671875,19453.900390625,19454.798828125,100342799,0.0,0.0
2025-03-12 11:00:00-04:00,19456.71484375,19516.34375,19377.244140625,19500.853515625,90377742,0.0,0.0
2025-03-12 11:30:00-04:00,19504.7265625,19611.166015625,19492.2890625,19611.166015625,73009131,0.0,0.0
2025-03-12 12:00:00-04:00,19605.23046875,19676.99609375,19570.86328125,19656.076171875,70591063,0.0,0.0
2025-03-12 12:30:00-04:00,19664.443359375,19704.171875,19593.3203125,19610.1015625,70431780,0.0,0.0
2025-03-12 13:00:00-04:00,19617.150390625,19680.1328125,19588.40625,19677.736328125,54783844,0.0,0.0
2025-03-12 13:30:00-04:00,19676.775390625,19693.26171875,19516.88671875,19516.88671875,60398731,0.0,0.0
2025-03-12 14:00:00-04:00,19516.564453125,19616.2578125,19516.564453125,19616.236328125,61043426,0.0,0.0
2025-03-12 14:30:00-04:00,19618.095703125,19682.4140625,19602.751953125,19657.150390625,56988176,0.0,0.0
2025-03-12 15:00:00-04:00,19652.072265625,19655.181640625,19576.986328125,19600.4375,69891000,0.0,0.0
2025-03-12 15:30:00-04:00,19612.92578125,19626.85546875,19540.154296875,19592.23046875,122760000,0.0,0.0
2025-03-13 09:30:00-04:00,19530.626953125,19555.0625,19325.22265625,19347.80859375,163783253,0.0,0.0
2025-03-13 10:00:00-04:00,19314.755859375,19542.47265625,19308.146484375,19463.224609375,144835105,0.0,0.0
2025-03-13 10:30:00-04:00,19461.515625,19506.623046875,19388.81640625,19406.9140625,91637558,0.0,0.0
2025-03-13 11:00:00-04:00,19438.017578125,19455.322265625,19329.8671875,19339.830078125,75064776,0.0,0.0
2025-03-13 11:30:00-04:00,19337.8046875,19359.232421875,19264.794921875,19276.19140625,81480615,0.0,0.0
2025-03-13 12:00:00-04:00,19277.10546875,19327.974609375,19270.591796875,19284.703125,66086437,0.0,0.0
2025-03-13 12:30:00-04:00,19276.0234375,19366.80078125,19226.73046875,19265.115234375,74314741,0.0,0.0
2025-03-13 13:00:00-04:00,19267.818359375,19283.3671875,19164.0703125,19202.361328125,66589156,0.0,0.0
2025-03-13 13:30:00-04:00,19195.732421875,19203.62890625,19153.556640625,19172.251953125,65248676,0.0,0.0
2025-03-13 14:00:00-04:00,19171.10546875,19306.830078125,19169.99609375,19305.505859375,67083339,0.0,0.0
2025-03-13 14:30:00-04:00,19306.771484375,19354.6640625,19289.66015625,19342.630859375,63205000,0.0,0.0
2025-03-13 15:00:00-04:00,19341.31640625,19372.712890625,19226.673828125,19239.330078125,73635000,0.0,0.0
2025-03-13 15:30:00-04:00,19234.25,19257.40234375,19168.5,19226.625,132958000,0.0,0.0
2025-03-14 09:30:00-04:00,19464.884765625,19600.79296875,19462.484375,19524.880859375,130612324,0.0,0.0
2025-03-14 10:00:00-04:00,19444.0546875,19561.87109375,19436.921875,19455.37109375,123263833,0.0,0.0
2025-03-14 10:30:00-04:00,19458.623046875,19584.732421875,19458.623046875,19584.732421875,82424400,0.0,0.0
2025-03-14 11:00:00-04:00,19598.666015625,19644.595703125,19587.05078125,19629.876953125,83940931,0.0,0.0
2025-03-14 11:30:00-04:00,19630.119140625,19686.134765625,19628.83203125,19662.1328125,75153821,0.0,0.0
2025-03-14 12:00:00-04:00,19663.41015625,19672.31640625,19597.53125,19602.107421875,59838884,0.0,0.0
2025-03-14 12:30:00-04:00,19602.17578125,19687.83984375,19595.01171875,19672.0390625,56943549,0.0,0.0
2025-03-14 13:00:00-04:00,19663.521484375,19689.89453125,19629.27734375,19637.34765625,52616547,0.0,0.0
2025-03-14 13:30:00-04:00,19637.1640625,19653.736328125,19605.474609375,19613.49609375,47143752,0.0,0.0
2025-03-14 14:00:00-04:00,19614.484375,19651.861328125,19597.68359375,19614.4765625,48401645,0.0,0.0
2025-03-14 14:30:00-04:00,19617.4921875,19684.990234375,19617.24609375,19657.337890625,56816321,0.0,0.0
2025-03-14 15:00:00-04:00,19656.21484375,19695.09765625,19649.693359375,19654.046875,61244341,0.0,0.0
2025-03-14 15:30:00-04:00,19654.568359375,19728.73046875,19638.076171875,19700.25,121504415,0.0,0.0
2025-03-17 09:30:00-04:00,19669.984375,19832.9765625,19669.984375,19776.083984375,123944289,0.0,0.0
2025-03-17 10:00:00-04:00,19766.60546875,19799.50390625,19706.888671875,19706.888671875,119840143,0.0,0.0
2025-03-17 10:30:00-04:00,19702.92578125,19742.662109375,19660.62890625,19669.603515625,91182699,0.0,0.0
2025-03-17 11:00:00-04:00,19672.162109375,19717.373046875,19643.673828125,19670.376953125,72957137,0.0,0.0
2025-03-17 11:30:00-04:00,19667.927734375,19684.890625,19623.65234375,19666.1484375,59180766,0.0,0.0
2025-03-17 12:00:00-04:00,19666.85546875,19725.28125,19647.521484375,19654.880859375,57071479,0.0,0.0
2025-03-17 12:30:00-04:00,19658.517578125,19697.630859375,19646.412109375,19685.404296875,55380706,0.0,0.0
2025-03-17 13:00:00-04:00,19685.27734375,19754.158203125,19664.99609375,19744.33203125,51755188,0.0,0.0
2025-03-17 13:30:00-04:00,19746.302734375,19817.84765625,19740.236328125,19804.33984375,51249683,0.0,0.0
2025-03-17 14:00:00-04:00,19803.72265625,19909.234375,19803.72265625,19903.6953125,61938468,0.0,0.0
2025-03-17 14:30:00-04:00,19896.57421875,19943.556640625,19896.57421875,19926.51171875,59590773,0.0,0.0
2025-03-17 15:00:00-04:00,19926.095703125,19929.609375,19891.341796875,19905.1484375,63617222,0.0,0.0
2025-03-17 15:30:00-04:00,19899.6953125,19914.95703125,19813.51953125,19814.556640625,114930793,0.0,0.0
2025-03-18 09:30:00-04:00,19653.58203125,19674.65625,19445.240234375,19461.412109375,163363575,0.0,0.0
2025-03-18 10:00:00-04:00,19436.80078125,19500.5703125,19431.791015625,19486.556640625,113570089,0.0,0.0
2025-03-18 10:30:00-04:00,19484.986328125,19516.802734375,19444.005859375,19471.693359375,83224678,0.0,0.0
2025-03-18 11:00:00-04:00,19467.728515625,19472.748046875,19397.931640625,19458.529296875,538169375,0.0,0.0
2025-03-18 11:30:00-04:00,19449.94921875,19482.939453125,19421.837890625,19448.0703125,56787351,0.0,0.0
2025-03-18 12:00:00-04:00,19446.8359375,19531.419921875,19440.474609375,19528.009765625,54964380,0.0,0.0
2025-03-18 12:30:00-04:00,19528.205078125,19535.865234375,19446.87109375,19521.291015625,57694087,0.0,0.0

